Field,Subfields,Job roles,Programming Languages ,Tools,Skills,Educational Background
Artificial Intelligence,Machine Learning,ML Product Manager,"Python, SQL, JavaScript, Java, Scala, R, Julia, C++, PHP, Swift","Jira, Trello, Confluence, Google Analytics, Mixpanel, Tableau, AWS, Azure, Git, Slack  ","Product Roadmap Development, Agile Methodology, Stakeholder Management, Market Research, User Story Mapping, Prioritization, Data-Driven Decision Making, Communication, Cross-Functional Collaboration, Strategic Planning","Bachelor's (Computer Science, Business Administration, Engineering)"
Artificial Intelligence,Deep Learning,Deep Learning Engineer,"Python, C++, Java, R, Julia","TensorFlow, PyTorch, Keras, CUDA, Git, Jupyter, ONNX, OpenCV","Neural network design, Backpropagation, Model tuning, GPU acceleration, Data preprocessing, Deep learning theory, Problem-solving, Collaboration, Communication, Critical thinking","Master's (Computer Science, AI, Machine Learning, Data Science)"
Artificial Intelligence,Deep Learning,Neural Network Architect,"Python, C++, Scala, R, MATLAB","TensorFlow, PyTorch, Keras, JAX, Git, ONNX, CUDA, TensorRT","Model architecture design, Hyperparameter tuning, Optimization techniques, Transfer learning, Reinforcement learning, Modular design, Creativity, Analytical thinking, Research skills, Communication","PhD (Deep Learning, Machine Learning, AI, Computer Science)"
Artificial Intelligence,Deep Learning,Deep Learning Research Scientist,"Python, Julia, R, C++, MATLAB","PyTorch, TensorFlow, JAX, Hugging Face, Git, LaTeX, NumPy, OpenAI Gym","Novel architecture development, Research methodologies, Experimental design, Theoretical understanding, Paper writing, Algorithm innovation, Critical thinking, Curiosity, Communication, Collaboration","PhD (Deep Learning, Machine Learning, AI, Computer Science)"
Artificial Intelligence,Deep Learning,Computer Vision DL Engineer,"Python, C++, Java, MATLAB, R","PyTorch, TensorFlow, OpenCV, Detectron2, YOLO, Git, CUDA, Keras","Image processing, Object detection, CNNs, Feature extraction, Data augmentation, Computer vision theory, Debugging, Problem-solving, Attention to detail, Teamwork","Master's (Computer Vision, AI, Computer Science, Data Science)"
Artificial Intelligence,Deep Learning,NLP Deep Learning Specialist,"Python, R, Julia, Java, Scala","Hugging Face, TensorFlow, PyTorch, NLTK, spaCy, Transformers, Git, Jupyter","Language modeling, Sequence modeling, Transformer architectures, Tokenization, Sentiment analysis, Text preprocessing, Semantic understanding, Communication, Analytical thinking, Research","Master's (NLP, AI, Computer Science, Computational Linguistics)"
Artificial Intelligence,Deep Learning,Deep Learning Optimization Engineer,"Python, C++, Julia, R, Scala","TensorRT, ONNX, PyTorch, TensorFlow, CUDA, Git, XLA, TVM","Model quantization, Pruning, Graph optimization, Hardware acceleration, Low-latency inference, Profiling, Code optimization, Performance analysis, Problem-solving, Efficiency-focused design","Master's (Computer Science, AI, Applied Mathematics, Machine Learning)"
Artificial Intelligence,Deep Learning,Deep Learning Infrastructure Engineer,"Python, C++, Bash, Go, Java","Docker, Kubernetes, TensorFlow, PyTorch, ONNX, Git, AWS, Terraform","Distributed training, Scalability, CI/CD pipelines, GPU orchestration, Cloud infrastructure, Model serving, System design, Automation, Debugging, Collaboration","Bachelor's (Computer Science, Software Engineering)"
Artificial Intelligence,Deep Learning,Applied Deep Learning Scientist,"Python, R, Julia, C++, Scala","TensorFlow, PyTorch, Scikit-learn, Keras, Jupyter, Hugging Face, Git, NumPy","Applied modeling, Experimentation, Data analysis, Transfer learning, Real-world deployment, Feature extraction, Communication, Critical thinking, Business understanding, Problem-solving","Master's (AI, Deep Learning, Data Science, Computer Science)"
Artificial Intelligence,Deep Learning,Deep Learning Algorithm Developer,"Python, C++, R, Julia, MATLAB","PyTorch, TensorFlow, JAX, Git, CUDA, ONNX, NumPy, SciPy","Algorithm design, Network optimization, Mathematical modeling, Gradient descent variants, Custom loss functions, Performance tuning, Research thinking, Code efficiency, Debugging, Creativity","Master's (Computer Science, Machine Learning, AI)"
Artificial Intelligence,Deep Learning,DL Model Compression Engineer,"Python, C++, R, Julia, Java","TensorFlow Lite, PyTorch, ONNX, TensorRT, Git, XLA, TVM, Apache MXNet","Model pruning, Quantization, Knowledge distillation, Compression techniques, Edge deployment, Memory optimization, Performance benchmarking, Efficient architecture design, Problem-solving, Analytical thinking","Master's (Computer Science, AI, Machine Learning, Embedded Systems)"
Artificial Intelligence,Natural Language Processing,NLP Engineer,"Python, Java, C++, R, Scala","TensorFlow, PyTorch, spaCy, Hugging Face Transformers, NLTK, Git, Docker, Jupyter, Kubernetes, FastAPI","Natural Language Processing, Machine Learning, Deep Learning, Text Preprocessing, Named Entity Recognition, Sentiment Analysis, Data Cleaning, Attention Mechanisms, Communication, Problem Solving","Master's (Computer Science, NLP, AI, Computational Linguistics)"
Artificial Intelligence,Natural Language Processing,Computational Linguist,"Python, R, Java, Perl, C++","NLTK, spaCy, GATE, Moses, Praat, ELAN, WordNet, Git, Jupyter","Linguistic Analysis, Syntax, Corpus Annotation, Phonetics, Morphology, Statistical Analysis, Data Visualization, Attention to Detail","Master's (Computational Linguistics, Linguistics, Computer Science)"
Artificial Intelligence,Natural Language Processing,NLP Research Scientist,"Python, C++, Java, Julia, MATLAB","PyTorch, TensorFlow, Jupyter, Hugging Face Transformers, Weights & Biases, Git, Docker, Kubernetes","Research Design, Deep Learning, Algorithm Development, Model Evaluation, Statistical Modeling, Experimentation, Scientific Writing, Critical Thinking","PhD (NLP, AI, Computational Linguistics, Machine Learning)"
Artificial Intelligence,Natural Language Processing,Conversational AI Developer,"Python, JavaScript, Java, C#","Rasa, Dialogflow, Microsoft Bot Framework, Alexa Skills Kit, Twilio, Git, Docker, Kubernetes","Dialogue Management, Intent Recognition, Context Handling, API Integration, NLP, UX Design, Debugging, Communication","Bachelor's (Computer Science, Software Engineering, Data Science)"
Artificial Intelligence,Natural Language Processing,Text Mining Specialist,"Python, R, SQL, Java","NLTK, spaCy, RapidMiner, KNIME, Weka, Elasticsearch, Git, Jupyter","Text Preprocessing, Tokenization, Topic Modeling, Clustering, Feature Extraction, Data Cleaning, Statistical Analysis, Visualization","Master's (Data Science, Computer Science, Information Retrieval)"
Artificial Intelligence,Natural Language Processing,Information Retrieval Engineer,"Java, Python, C++, Scala, Go","Elasticsearch, Solr, Lucene, Whoosh, Kibana, Hadoop, Git, Docker","Indexing, Query Optimization, Ranking Algorithms, Relevance Feedback, Scalability, Distributed Systems, Performance Tuning, Data Structures","Master's (Computer Science, Information Retrieval, Data Science)"
Artificial Intelligence,Natural Language Processing,Sentiment Analysis Engineer,"Python, R, Java, Scala","NLTK, TextBlob, VADER, spaCy, Hugging Face Transformers, Git, Jupyter, Tableau","Opinion Mining, Lexicon Development, Model Training, Feature Engineering, Classification, Data Annotation, Evaluation Metrics, Communication","Master's (Data Science, AI, NLP, Computer Science)"
Artificial Intelligence,Natural Language Processing,Machine Translation Engineer,"Python, C++, Java, Rust, Lua","OpenNMT, MarianNMT, Fairseq, TensorFlow, PyTorch, Moses, SentencePiece, SacreBLEU, Git, Docker","Sequence-to-Sequence Modeling, Attention Mechanisms, Subword Segmentation, Parallel Corpus Management, Domain Adaptation, BLEU/METEOR Evaluation, Data Preprocessing, Statistical Analysis, Problem Solving, Communication","PhD (Machine Translation, NLP, AI, Computational Linguistics)"
Artificial Intelligence,Natural Language Processing,Chatbot/NLU Developer,"Python, JavaScript, Java, C#","Rasa, Dialogflow, Botpress, Microsoft Bot Framework, Wit.ai, spaCy, NLTK, Git, Docker, Kubernetes","Intent Classification, Entity Recognition, Dialogue Management, Context Handling, UX Design, API Integration, Testing, Debugging, Communication","Bachelor's (Computer Science, AI, Software Engineering)"
Artificial Intelligence,Natural Language Processing,Speech-to-Text NLP Engineer,"Python, C++, Java, Julia","Kaldi, DeepSpeech, wav2vec, ESPnet, PyTorch, TensorFlow, Praat, Audacity, Docker, Git","Acoustic Modeling, Feature Extraction (MFCC/FBANK), Signal Processing, Language Modeling, Noise Reduction, CTC/RNN-T Architectures, Evaluation (WER), Optimization, Attention to Detail","Master's (Speech Processing, NLP, AI, Computer Science)"
Artificial Intelligence,Natural Language Processing,Question Answering System Developer,"Python, Java, C++, JavaScript","Hugging Face Transformers, Elasticsearch, FAISS, Haystack, TensorFlow, PyTorch, Git, Docker, Kubernetes","Information Retrieval, Reading Comprehension Models, Query Understanding, Passage Ranking, Knowledge Graphs, Context Modeling, API Integration, Evaluation Metrics (EM/F1), Critical Thinking","Master's (NLP, AI, Computer Science, Data Science)"
Artificial Intelligence,Natural Language Processing,Named Entity Recognition (NER) Specialist,"Python, Java, R, C++","spaCy, Flair, Stanford NER, Hugging Face Transformers, MITIE, NLTK, Prodigy, Doccano, Git, Jupyter","Sequence Labeling, Feature Engineering, CRFs, BiLSTM/Transformer Models, Annotation Guidelines, Data Preprocessing, Evaluation Metrics (Precision/Recall/F1), Attention to Detail, Communication","Master's (NLP, Computational Linguistics, Data Science)"
Artificial Intelligence,Computer Vision,Computer Vision Engineer,"Python, C++, Java, CUDA, MATLAB","OpenCV, TensorFlow, PyTorch, Keras, ROS, Git, CUDA Toolkit, scikit-image","Image Classification, Object Detection, Feature Extraction, GPU Programming, Model Deployment, Data Augmentation, Algorithm Optimization, Performance Tuning, Collaboration","Bachelor's (Computer Science, Computer Engineering, AI)"
Artificial Intelligence,Computer Vision,Image Processing Specialist,"Python, C++, MATLAB, Java, JavaScript","OpenCV, scikit-image, ImageJ, MATLAB Image Processing Toolbox, PIL/Pillow, ITK, SimpleITK, GIMP","Filtering, Edge Detection, Segmentation, Morphological Operations, Color Space Conversion, Fourier Analysis, Noise Reduction, Image Enhancement, Feature Extraction, Attention to Detail","Bachelor's (Electrical Engineering, Computer Science)"
Artificial Intelligence,Computer Vision,CV Research Scientist,"Python, C++, MATLAB, Julia, R","PyTorch, TensorFlow, OpenCV, Jupyter, Weights & Biases, Docker, Git, Kubeflow","Research Design, Algorithm Development, Deep Learning, Model Evaluation, Statistical Analysis, Experimentation, Scientific Writing, Critical Thinking, Presentation, Collaboration","PhD (Computer Vision, Machine Learning, AI)"
Artificial Intelligence,Computer Vision,3D Vision Engineer,"C++, Python, MATLAB, CUDA, Rust","PCL (Point Cloud Library), Open3D, ROS, MeshLab, OpenCV, Blender, CUDA Toolkit, Git","3D Reconstruction, SLAM, Depth Estimation, Point Cloud Processing, Calibration, Surface Reconstruction, Sensor Fusion, Optimization, Spatial Reasoning, Problem Solving","Master's (Computer Vision, Robotics, AI)"
Artificial Intelligence,Computer Vision,Video Analytics Engineer,"Python, C++, Java, JavaScript, MATLAB","OpenCV, FFmpeg, GStreamer, TensorFlow, PyTorch, Docker, Kafka, Git","Motion Detection, Object Tracking, Event Detection, Real-time Processing, Streaming Architectures, Performance Tuning, Algorithm Optimization, Data Handling, Communication, Scalability","	Bachelor's (Computer Science, Computer Vision, Data Science)"
Artificial Intelligence,Computer Vision,Object Detection/Tracking Engineer,"Python, C++, Java, MATLAB","TensorFlow Object Detection API, PyTorch, OpenCV, YOLO, Detectron2, DeepSORT, Git, Docker","Bounding Box Regression, Feature Extraction, Tracking Algorithms, Kalman Filters, Data Association, Model Training, Evaluation Metrics, Performance Optimization","Master's (Computer Vision, Machine Learning)"
Artificial Intelligence,Computer Vision,Autonomous Perception Engineer,"C++, Python, CUDA","ROS, OpenCV, PCL, NVIDIA DriveWorks, TensorRT, TensorFlow, PyTorch, Git","Sensor Fusion, Lidar Processing, Camera Calibration, Environment Perception, Real-time Systems, Embedded Systems, SLAM, Algorithm Integration, Data Annotation","Master's (Robotics, AI, Computer Vision)"
Artificial Intelligence,Computer Vision,Medical Image Analysis Scientist,"Python, C++, MATLAB, R, Java","ITK, SimpleITK, 3D Slicer, ANTs, Nibabel, TensorFlow, PyTorch, OpenCV, DICOM Toolkits, Git","Segmentation, Registration, Feature Extraction, Deep Learning, Quantitative Analysis, Statistical Modeling, Data Annotation, Model Validation, Domain Knowledge (Radiology), Communication","PhD (Medical Imaging, Computer Vision, Biomedical Engineering)"
Artificial Intelligence,Computer Vision,Augmented Reality Vision Developer,"C++, C#, Python, Java, Swift","Unity, Unreal Engine, ARKit, ARCore, Vuforia, OpenCV, OpenXR, Blender, Visual Studio, Git","Real-time Rendering, Pose Estimation, SLAM, 3D Modeling, Shader Programming, Computer Vision, UX Design, Calibration, Performance Optimization, Collaboration","Bachelor's (Computer Science, Game Development, AR/VR)"
Artificial Intelligence,Computer Vision,Scene Understanding Specialist,"Python, C++, MATLAB, Java, Rust","OpenCV, PyTorch, TensorFlow, Detectron2, Mask R-CNN, ROS, Open3D, PCL, Jupyter, Git","Semantic Segmentation, Instance Segmentation, Depth Estimation, 3D Reconstruction, Context Modeling, Feature Extraction, Data Annotation, Model Evaluation, Problem Solving, Communication","Master's (Computer Vision, AI)"
Artificial Intelligence,Computer Vision,Remote Sensing Image Analyst,"Python, R, C++, MATLAB, Java","QGIS, ArcGIS, GDAL, ENVI, Google Earth Engine, Orfeo Toolbox, SNAPPY, OpenCV, TensorFlow, PyTorch","Multispectral Analysis, Classification, Change Detection, Radiometric Correction, Image Preprocessing, Feature Extraction, GIS Analysis, Geospatial Analysis, Data Interpretation, Attention to Detail","Master's (Remote Sensing, Geospatial Science, Computer Vision)"
Artificial Intelligence,Computer Vision,OCR (Optical Character Recognition) Engineer,"Python, C++, Java, JavaScript, R","Tesseract OCR, pytesseract, OpenCV, ABBYY FineReader, Google Cloud Vision API, AWS Textract, OCRopus, Leptonica, TensorFlow, PyTorch","Text Segmentation, Character Recognition, Layout Analysis, Preprocessing, Feature Extraction, Model Training, Error Correction, Post-Processing, Quality Assessment, Communication","Bachelor's (Computer Science, AI)"
Artificial Intelligence,Reinforcement Learning,Reinforcement Learning Engineer,"Python, C++, Java, Julia","TensorFlow, PyTorch, OpenAI Gym, Ray RLlib, JAX","Markov Decision Processes, Q-learning, policy gradients, exploration vs exploitation, reward engineering, model-based RL, deep learning, optimization, problem-solving, collaboration","Master's (AI, Machine Learning, Computer Science)"
Artificial Intelligence,Reinforcement Learning,RL Research Scientist,"Python, C++, Julia, MATLAB, R","PyTorch, TensorFlow, JAX, OpenAI Gym, Ray RLlib, Weights & Biases","Literature review, algorithm development, theoretical analysis, MDPs, statistical modeling, optimization, scientific writing, experiment design, data analysis, collaboration","PhD (Reinforcement Learning, Machine Learning, AI)"
Artificial Intelligence,Reinforcement Learning,RL for Robotics Engineer,"C++, Python, MATLAB, Java","ROS, Gazebo, MoveIt, PyBullet, OpenAI Gym, PyTorch, TensorFlow, ROS2","Control theory, kinematics, dynamics modeling, simulation, sensor integration, real-time systems, calibration, reinforcement learning, problem-solving, teamwork","Master's (Robotics, AI, Computer Science)"
Artificial Intelligence,Reinforcement Learning,Multi-Agent RL Developer,"Python, C++, Julia, Java","PettingZoo, Ray RLlib, OpenAI Gym, PyMARL, PyTorch, TensorFlow","Game theory, agent communication, decentralized learning, coordination, MDPs, algorithm design, simulation, scalability, debugging, collaboration","Master's (AI, Machine Learning, Computer Science)"
Artificial Intelligence,Reinforcement Learning,Deep RL Specialist,"Python, C++, CUDA, Julia","PyTorch, TensorFlow, Keras, OpenAI Gym, Ray RLlib, JAX","Neural networks, CNNs, RNNs, backpropagation, hyperparameter tuning, DL architectures, gradient methods, MDPs, experimentation, problem-solving","PhD (Deep Learning, Reinforcement Learning, AI)"
Artificial Intelligence,Reinforcement Learning,Game AI / RL Engineer,"C#, C++, Python, Lua","Unity ML-Agents, Unreal Engine, OpenAI Gym, PyTorch, TensorFlow, AWS SageMaker","Game development, environment design, state representation, reward shaping, real-time performance, debugging, algorithm implementation, creativity, teamwork, optimization","Bachelor's (Computer Science, Game Development, AI)"
Artificial Intelligence,Reinforcement Learning,RL Algorithm Researcher,"Python, C++, Julia, MATLAB","PyTorch, TensorFlow, JAX, OpenAI Gym, Ray RLlib, Weights & Biases","Theoretical analysis, convergence proofs, algorithm design, statistical modeling, optimization, MDPs, experiment design, scientific writing, critical thinking, collaboration","PhD (Machine Learning, Reinforcement Learning, Applied Mathematics)"
Artificial Intelligence,Reinforcement Learning,Applied RL Scientist,"Python, C++, R, Julia","PyTorch, TensorFlow, OpenAI Gym, Ray RLlib, AWS SageMaker, Kubeflow","Problem framing, data analysis, model deployment, hyperparameter tuning, MDPs, experimentation, project management, cross-functional communication, debugging, domain adaptation","Master's (AI, Machine Learning, Data Science)"
Artificial Intelligence,Reinforcement Learning,RL Simulation Developer,"Python, C++, MATLAB, Julia","Gazebo, MuJoCo, PyBullet, OpenAI Gym, Unity ML-Agents, ROS, SimPy","Simulation design, physics modeling, numerical methods, performance optimization, RL integration, validation, debugging, problem-solving, collaboration","Master's (Computer Science, Machine Learning, AI)"
Artificial Intelligence,Reinforcement Learning,Autonomous Control Systems Engineer,"C, C++, Python, MATLAB","ROS, Gazebo, MATLAB/Simulink, PX4, TensorFlow, PyTorch, LabVIEW, Git","Control theory, state estimation, sensor fusion, real-time systems, stability analysis, system identification, reinforcement learning, debugging, teamwork, project management","Master's (Control Systems, Robotics, AI)"
Artificial Intelligence,Reinforcement Learning,RL Infrastructure Engineer,"Python, Go, Java, Bash","Kubernetes, Docker, Terraform, Ray, Kubeflow, MLflow, AWS SageMaker, Jenkins, Prometheus, Git","Distributed systems, cloud computing, containerization, orchestration, scaling, CI/CD, monitoring, automation, scripting, collaboration","Bachelor's (Computer Science, Software Engineering)"
Artificial Intelligence,Reinforcement Learning,RL for Finance Quantitative Analyst,"Python, C++, R, MATLAB, SQL","Pandas, NumPy, PyTorch, TensorFlow, QuantLib, Backtrader, Bloomberg Terminal, Excel, Jupyter, Git","Time series analysis, statistical modeling, risk management, portfolio optimization, algorithmic trading, backtesting, reinforcement learning, data analysis, attention to detail, communication","Master's (Quantitative Finance, Applied Mathematics, AI)"
Artificial Intelligence,Explainable AI,Explainable AI Researcher,"Python, R, Julia, MATLAB","LIME, SHAP, Captum, Alibi, ELI5, TensorBoard, Jupyter, Git","Literature review, algorithm development, statistical analysis, causal inference, theoretical modeling, experiment design, scientific writing, collaboration, critical thinking","PhD (AI, Machine Learning, Explainable AI)"
Artificial Intelligence,Explainable AI,XAI Framework Developer,"Python, Java, JavaScript, C++","TensorFlow Explain, IBM AI Explainability 360, Googles What-If Tool, SHAP, LIME, Alibi, Flask, Docker","API design, software engineering, library integration, performance optimization, testing, documentation, version control, teamwork, problem-solving","Master's (Computer Science, AI, Machine Learning)"
Artificial Intelligence,Explainable AI,Model Interpretability Specialist,"Python, R, SQL, Julia","SHAP, LIME, DALEX, Skater, ELI5, TensorBoard, Tableau, Power BI","Feature importance, sensitivity analysis, surrogate modeling, visualization, statistical modeling, communication, domain knowledge, critical evaluation, stakeholder engagement","Master's (AI, Data Science, Statistics)"
Artificial Intelligence,Explainable AI,Trustworthy AI Engineer,"Python, Java, C#, Go","TensorFlow Privacy, IBM Adversarial Robustness Toolbox, Fairlearn, OpenAI Safety Gym, Docker, Kubernetes, GitHub Actions","Adversarial testing, robustness evaluation, privacy-preserving methods, security auditing, CI/CD, monitoring, risk assessment, cross-functional collaboration, problem-solving","Master's (AI, Computer Science, Ethics in Technology)"
Artificial Intelligence,Explainable AI,AI Fairness & Bias Analyst,"Python, R, SQL, SAS","Fairlearn, AIF360, Themis-ML, What-If Tool, Pandas, scikit-learn, Excel, Tableau","Bias detection, statistical parity, disparate impact analysis, data auditing, reporting, stakeholder communication, ethics frameworks, project management, attention to detail","Master's (Data Science, AI, Ethics in AI)"
Artificial Intelligence,Explainable AI,Human-Centered AI Designer,"Python, JavaScript, HTML,CSS, R","Figma, Adobe XD, Axure, D3.js, React, Jupyter, UserTesting, MURAL","User research, UX/UI design, prototyping, usability testing, wireframing, human factors, empathy, communication, iterative design, collaboration","Bachelor's (Human-Computer Interaction, AI, Cognitive Science)"
Artificial Intelligence,Explainable AI,AI Transparency Consultant,"Python, R, SQL, JavaScript","Tableau, Power BI, SHAP, LIME, Alibi, Excel, Confluence, Slack","Regulatory knowledge, reporting, stakeholder engagement, communication, documentation, auditing, project management, ethical assessment, training facilitation, advisory skills","Master's (AI, Law and Ethics in Technology)"
Artificial Intelligence,Explainable AI,Algorithm Accountability Auditor,"Python, R, SQL, Java, Julia","AI Fairness 360, Fairlearn, Themis-ML, Excel, Tableau, Power BI, Jupyter, Git","Audit planning, risk assessment, compliance, statistical analysis, bias detection, documentation, stakeholder communication, reporting, critical thinking, collaboration","Master's (Data Science, Ethics, Law and Technology)"
Artificial Intelligence,Explainable AI,Responsible AI Strategist,"Python, SQL, R, JavaScript","Confluence, Jira, Excel, Tableau, Power BI, MURAL, Trello, Slack","Strategic planning, ethics frameworks, stakeholder engagement, policy development, cross-functional leadership, risk management, communication, project management, facilitation, advisory","Master's (AI Strategy, Business Analytics, Ethics)"
Artificial Intelligence,Explainable AI,Ethical AI Policy Analyst,"Python, R, SQL, JavaScript","LexisNexis, Westlaw, Excel, Tableau, Power BI, Confluence, Jupyter","Policy analysis, legal research, regulatory compliance, ethics frameworks, technical writing, stakeholder engagement, critical thinking, communication, report drafting, data analysis","Master's (Public Policy, AI Ethics, Law and Technology)"
Artificial Intelligence,Explainable AI,Explainability Tools Developer,"Python, C++, Java, JavaScript","SHAP, LIME, Captum, Alibi, ELI5, TensorFlow Explainability API, Docker, GitHub","API design, software engineering, library development, testing, documentation, performance optimization, integration, version control, unit testing, collaboration","Bachelor's (Computer Science, AI)"
Artificial Intelligence,Explainable AI,XAI for Healthcare Systems Specialist,"Python, R, SQL, MATLAB","SHAP, LIME, Alibi, TensorBoard, SAS, Excel, Tableau, Power BI, FHIR SDKs","Healthcare domain knowledge, regulatory compliance, data privacy, interpretability, clinical validation, data analysis, stakeholder communication, ethics, collaboration, problem-solving","PhD (AI, Biomedical Engineering, Healthcare Informatics)"
Artificial Intelligence,Federated Learning,Federated Learning Engineer,"Python, C++, Java, Go, Scala","TensorFlow Federated, PySyft, Flower, FATE, OpenFL, Jupyter, Git","Secure aggregation, differential privacy, communication protocols, distributed optimization, model partitioning, performance tuning, debugging, system integration, collaboration, problem-solving","Master's (AI, Machine Learning, Computer Science)"
Artificial Intelligence,Federated Learning,Distributed Machine Learning Specialist,"Python, Java, C++, Scala, Go","Apache Spark MLlib, Ray, Horovod, Dask-ML, Kafka, TensorFlow Federated, MLflow","Distributed training, parallel computing, data partitioning, fault tolerance, scaling, performance optimization, cluster management, algorithm customization, debugging, collaboration","Master's (Distributed Systems, Machine Learning, Computer Science)"
Artificial Intelligence,Federated Learning,Privacy-Preserving ML Researcher,"Python, R, C++, Julia","PySyft, TensorFlow Privacy, IBM FHE Toolkit, Microsoft SEAL, Crypten, OpenMined","Differential privacy, homomorphic encryption, secure multi-party computation, cryptography, theoretical analysis, algorithm development, experiment design, literature review, critical thinking, collaboration","PhD (Privacy-Preserving Machine Learning, AI, Cryptography)"
Artificial Intelligence,Federated Learning,FL Infrastructure Engineer,"Python, Go, Java, Bash, C++","Kubernetes, Docker, Terraform, Kubeflow, Prometheus, gRPC, Kafka, MLflow","Container orchestration, distributed systems, CI/CD, monitoring, scalability, automation, cloud platforms, networking, security, collaboration","Bachelor's (Computer Science, Distributed Systems)"
Artificial Intelligence,Federated Learning,FL Research Scientist,"Python, C++, Julia, MATLAB, Scala","TensorFlow Federated, PyTorch, JAX, Flower, OpenFL, Weights & Biases, Git","Algorithm design, theoretical analysis, literature review, experimental design, distributed optimization, secure aggregation, differential privacy, statistical modeling, scientific writing, collaboration","PhD (Federated Learning, Machine Learning, AI)"
Artificial Intelligence,Federated Learning,Edge-based Federated ML Developer,"Python, C, C++, Java, Swift","TensorFlow Lite, PyTorch Mobile, gRPC, MQTT, AWS Greengrass, Azure IoT Edge, Docker","On-device training, model quantization, resource optimization, latency reduction, communication protocols, hardware constraints, deployment, debugging, system design, collaboration","Master's (Edge Computing, Machine Learning, Computer Science)"
